TotalSteps,SedentaryMinutes,VeryActiveMinutes,Calories
0,1440,0,1920
0,1440,0,1920
0,780,0,4562
4126,720,0,2881
0,1440,0,1920
0,1440,0,1920
2063,99,0,1144
5785,1129,0,1852
7625,1074,24,2069
4706,1141,0,1816
5861,1180,20,1878
4460,1192,0,1787
6406,1094,17,2010
7392,1085,14,2038
5551,1158,0,1815
8827,1063,21,2062
4662,735,22,1276
4499,842,0,1288
7618,842,0,1490
11508,748,29,1630
11943,710,16,1648
12303,605,26,1649
15425,614,24,1783
8422,815,0,1431
10226,685,0,1524
14583,697,35,1697
3573,866,15,1232
3108,894,1,1223
759,187,0,182
5543,757,0,2990
3226,771,0,2480
3023,1005,0,2570
5906,874,0,3016
12483,599,25,3830
8940,986,0,3706
368,1440,0,2024
5702,1440,0,2980
10330,1440,0,3728
8778,1440,0,3348
6662,1440,0,3162
6309,1440,0,3140
1951,1440,0,1980
5563,1440,0,3681
4370,1440,0,3444
7144,1440,0,3510
2106,1289,31,4010
4152,1253,0,2976
5400,795,0,3418
7428,860,18,3439
5351,748,15,3338
4299,752,3,2892
6107,776,0,3313
6429,741,0,3118
6880,1249,7,2966
7476,920,0,3253
6581,1191,0,3032
10480,1125,6,4034
7734,1185,20,3264
5129,1178,5,2817
2993,888,0,2507
8,321,0,446
0,1440,0,1777
0,1440,0,1777
8433,1268,30,2453
0,1440,0,1776
2139,1397,0,1935
0,1440,0,1776
949,1406,0,1870
0,1440,0,1777
44,1438,0,1782
2660,1394,0,1978
5561,1271,0,2296
7239,1236,7,2484
7,1439,0,1787
0,1440,0,1776
0,1440,0,1776
2275,1354,0,2005
8,1439,0,1778
5137,1280,0,2293
5419,1295,0,2259
0,1440,0,1776
0,1440,0,1776
0,1440,0,1776
0,1440,0,1776
0,1440,0,1776
0,1440,0,1776
18,1438,0,1780
4,1439,0,1778
8426,1293,2,2360
1650,1380,0,1952
3434,1324,1,2101
6801,1247,0,2393
187,400,0,538
5643,683,3,1958
9043,702,4,2141
8144,1125,4,2129
9343,654,14,2216
8405,621,15,2154
8223,551,12,2178
10067,578,5,2308
8359,638,3,2201
10946,569,8,2341
9130,668,7,2236
6544,1132,4,2069
0,1440,0,0
0,1440,0,1878
0,1440,0,1878
0,1440,0,1878
0,1440,0,1878
0,1440,0,1878
0,1440,0,1878
0,1440,0,1878
0,994,0,1296
2303,807,0,2010
2600,1277,0,2032
4804,786,0,2227
3271,898,0,2133
5406,672,0,2317
3146,1269,0,2058
2422,1330,0,1935
4239,702,1,2217
6911,745,28,2374
6667,939,24,2335
5543,941,0,2303
4195,758,0,2210
6625,755,0,2424
5986,789,23,2297
278,253,0,745
5336,1182,0,1902
3183,1180,0,1680
6176,886,1,1901
8205,1073,0,2078
6799,1217,24,1876
5668,1181,0,1853
7998,1105,27,2235
4195,1199,0,1778
5512,1164,0,1882
6263,1150,0,1906
8828,1132,0,2149
1260,555,0,722
6506,760,4,2886
7583,742,3,2915
6963,759,0,2895
7165,708,0,2923
10328,475,0,3323
12116,471,3,3357
7810,746,6,2931
6670,770,15,2848
7605,708,4,2943
6585,770,0,2822
8184,808,0,2981
14002,407,8,3597
11135,528,1,3224
6499,809,0,2677
0,1440,0,0
12409,782,51,2142
2937,356,0,1615
1515,507,0,1481
8921,754,27,1892
11306,772,40,2086
12252,745,33,2044
15444,731,51,2249
9938,767,38,2019
4599,578,0,1692
5594,552,4,1712
11906,688,32,2065
3436,61,7,633
10461,721,99,3625
14873,663,202,4430
9917,700,58,3427
7401,689,70,3492
8964,756,107,3597
11080,695,83,3765
4499,756,31,2775
4363,813,8,2486
10494,601,123,3817
9776,721,80,3378
2862,209,39,1511
7444,568,0,2210
19658,466,3,2884
0,1440,0,1496
8468,1148,2,2262
9910,990,0,2445
12409,388,0,2694
4853,770,0,1903
8955,1018,0,2482
10789,413,0,2617
0,1440,0,0
6633,1160,0,2778
9548,1195,25,3119
0,1407,33,2664
0,1440,0,2060
0,1440,0,2060
0,1440,0,2060
0,1440,0,2060
0,1440,0,2060
0,1440,0,2060
0,494,20,735
0,1440,0,1820
2101,1394,46,2224
0,1440,0,1820
0,1440,0,1820
9766,1133,0,2442
165,1432,0,1849
0,1440,0,1822
0,1440,0,1820
0,198,0,251
7225,1189,25,3065
1988,909,0,2207
1577,1414,1,1977
0,1440,0,1841
9348,1011,56,4286
11761,550,24,3920
13987,739,46,3856
4131,1308,27,2584
14,601,0,787
15491,641,18,2244
14097,595,50,2188
10467,602,9,2014
12437,732,50,2115
12307,589,14,2055
18952,570,73,2437
12010,692,38,2158
12480,593,55,2170
13417,665,45,2244
14400,697,27,2188
12495,609,33,2231
10148,679,19,2100
12362,678,21,2188
5893,146,43,917
11680,1139,50,2573
10976,1075,9,2575
16806,1002,104,3086
15266,1057,70,2886
12084,1030,50,2676
13513,1098,64,2811
14100,1015,61,2840
12627,1063,54,2871
10345,1074,2,2613
10146,1030,1,2700
12168,1020,18,2871
7413,405,53,1023
11463,777,38,2496
87,872,0,1641
1949,1404,3,1794
6101,1247,31,2421
7478,1159,25,2439
7352,814,19,2233
14604,695,76,2862
9634,797,50,2752
7338,717,27,2519
569,1368,0,1799
6242,741,46,2543
430,75,0,625
20188,1125,124,3377
25701,1142,165,3697
17395,1123,100,3209
17167,1150,98,3167
16435,1135,100,3122
17078,1143,101,3176
11693,1221,60,2790
11159,1255,59,2715
10118,1185,30,2684
16064,1181,96,3097
290,599,0,791
0,1440,0,1429
0,1440,0,1429
0,1440,0,1429
0,1440,0,1429
0,1440,0,1429
1931,1346,0,1607
5181,1303,15,1776
12026,1230,47,2162
5360,1256,8,1832
2545,1314,0,1657
1636,1139,0,1377
0,1440,0,0
14179,719,73,3669
3358,657,0,2702
9152,600,25,3304
13935,658,105,4234
12846,686,113,4128
9124,728,55,3798
9725,670,83,3839
8350,868,72,3713
2240,843,0,2606
2631,727,0,2624
8837,811,74,3775
3246,243,65,1882
2174,1328,0,2360
3494,1274,0,2517
2380,1309,0,2400
3159,1293,0,2462
6835,1208,5,2786
2098,1328,0,2354
2816,1302,0,2437
1408,1052,0,1814
4592,748,4,2260
8452,1079,9,3004
7238,636,2,2667
3821,675,0,2229
2332,904,1,2100
2121,855,0,2114
1291,888,0,1961
1467,912,2,1953
1022,739,0,1890
4605,1261,0,2253
178,1428,0,1725
20,598,0,728
18700,1123,67,3527
27572,1040,116,4220
15260,1058,106,3864
20779,1138,78,3662
10695,1181,10,2834
24136,1019,87,4039
10910,1185,32,2947
23014,982,70,4196
16470,1052,90,3841
28497,1055,128,4526
10622,1190,18,2820
2350,531,0,938
13162,728,25,1985
10735,776,21,1797
10460,1218,30,1776
9762,726,29,1745
12669,773,36,1863
9705,539,38,1728
13019,1149,42,1921
15506,775,50,2035
10544,818,28,1786
9819,838,19,1775
12764,1217,66,1827
14371,732,41,1949
10039,709,39,1788
15355,814,73,2013
13755,833,31,1970
18134,1108,78,2159
13154,782,48,1898
11181,815,16,1837
14673,712,52,1947
10602,730,33,1820
14727,798,41,2004
15103,816,50,1990
11100,1179,36,1819
14070,857,45,1959
12159,754,24,1896
11992,833,37,1821
10060,574,44,1740
12022,835,46,1819
12207,746,46,1859
12770,669,36,1783
0,1440,0,0
8163,1294,0,1432
7007,1292,0,1411
9107,1204,0,1572
1510,1344,0,1344
5370,1264,0,1463
6175,1276,15,1554
10536,1214,17,1604
2916,1299,0,1435
4974,1289,0,1446
6349,1254,0,1467
4026,1241,0,1470
8538,1213,0,1562
6076,1221,16,1617
6497,1238,0,1492
2826,1300,0,1402
8367,1233,17,1670
2759,1320,0,1401
2390,1290,0,1404
6474,1182,11,1655
7155,1261,7,1497
2100,1344,0,1334
2193,1322,0,1368
2470,1323,0,1370
1727,1338,0,1341
2104,1258,0,1474
3427,1288,0,1427
1732,1349,0,1328
2969,1301,0,1393
3134,1328,0,1359
2971,890,0,1002
10694,1131,2,3199
8001,1259,30,2902
11037,1125,5,3226
5263,1263,3,2750
15300,1135,51,3493
8757,1212,29,3011
7132,1271,15,2806
11256,1099,5,3300
2436,1315,0,2430
1223,1402,0,2140
3673,1354,0,2344
6637,1265,0,2677
3321,1351,0,2413
3580,1337,8,2497
9919,1165,11,3123
3032,1322,0,2489
9405,1157,3,3108
3176,1193,0,2498
18213,816,9,3846
6132,908,3,2696
3758,682,1,2580
12850,1115,10,3324
2309,1388,0,2222
4363,1341,6,2463
9787,1054,11,3328
13372,1139,41,3404
6724,991,0,2987
6643,1099,32,3008
9167,1254,12,2799
1329,713,0,1276
6697,1101,0,2030
4929,1192,0,1860
7937,843,0,2130
3844,527,0,1725
3414,1293,0,1657
4525,1231,2,1793
4597,1211,0,1814
197,1430,0,1366
8,1439,0,1349
8054,1117,2,2062
5372,1220,0,1827
3570,1301,0,1645
0,1440,0,1347
0,1440,0,1347
0,1440,0,1347
4,1439,0,1348
6907,1138,0,1992
4920,1082,0,1856
4014,218,0,1763
2573,585,0,1541
0,1440,0,1348
4059,1256,0,1742
2080,1353,0,1549
2237,1320,0,1589
44,1438,0,1351
0,1440,0,1347
0,1440,0,1347
0,1440,0,1347
0,1440,0,1347
0,1440,0,1347
0,711,0,665
678,734,0,2220
356,986,0,2151
2163,1292,0,2383
980,941,0,2221
0,1440,0,2064
0,1440,0,2063
244,1423,0,2111
0,1440,0,2063
0,1440,0,2063
0,1440,0,2064
149,1430,0,2093
2945,1295,0,2499
2090,1358,1,2324
152,1303,0,2100
3761,1058,0,2638
0,1440,0,2063
1675,1167,0,2351
0,1440,0,2063
0,1440,0,2064
2704,1355,14,2411
3790,1322,16,2505
1326,1413,10,2195
1786,1353,0,2338
0,1440,0,2063
2091,1332,0,2383
1510,1392,0,2229
0,1440,0,2063
0,1440,0,2063
0,1440,0,2063
0,1440,0,2063
0,966,0,1383
11875,1157,42,2390
12024,1100,43,2601
10690,1148,32,2312
11034,1122,27,2525
10100,1237,41,2177
15112,1052,28,2782
14131,1078,48,2770
11548,1152,31,2489
15112,1053,48,2897
12453,1028,104,3158
12954,1105,52,2638
6001,1191,0,2069
13481,1161,37,2529
11369,1171,44,2470
10119,1086,55,2793
10159,1119,19,2463
10140,1123,6,2296
10245,1098,21,2611
18387,1043,13,2732
10538,1142,25,2380
10379,1119,36,2473
12183,1104,72,2752
11768,1105,36,2649
11895,1112,55,2609
10227,1104,24,2498
6708,1269,20,1995
3292,1305,0,1848
13379,1061,35,2709
12798,1084,57,2797
13272,1133,58,2544
9117,728,16,1853
4414,706,3,1459
4993,663,0,1521
3335,653,0,1431
3821,687,0,1444
2547,728,0,1373
838,1053,0,1214
3325,1062,0,1419
2424,785,0,1356
7222,623,0,1667
2467,749,0,1370
2915,712,0,1399
12357,458,0,1916
3490,704,0,1401
6017,821,0,1576
5933,1018,0,1595
6088,586,0,1593
6375,626,0,1649
7604,492,0,1692
4729,594,0,1506
3609,716,0,1447
7018,716,0,1690
5992,981,0,1604
6564,530,0,1658
12167,479,0,1926
8198,511,0,1736
4193,665,0,1491
5528,610,0,1555
10685,543,0,1869
254,1002,0,1141
8580,569,0,1698
8891,330,0,1364
10725,1112,13,2124
7275,1105,0,2003
3973,1249,0,1696
5205,1195,0,1801
5057,1245,0,1724
6198,1191,0,1852
6559,1173,0,1905
5997,1201,0,1811
7192,1146,0,1922
3404,1302,1,1610
5583,1174,0,1851
5079,1129,0,1804
4165,1236,0,1725
3588,1280,3,1654
3409,1293,0,1632
1715,1358,0,1481
1532,1364,0,1473
924,1395,0,1410
4571,1206,0,1779
772,1400,0,1403
3634,1306,5,1613
7443,1204,20,1878
1201,1388,0,1426
5202,1206,0,1780
4878,1236,0,1742
7379,1121,0,1972
5161,1193,0,1821
3090,1295,0,1630
6227,1150,0,1899
6424,1140,0,1903
2661,830,0,1125
10113,964,28,2344
10352,676,19,2038
10129,705,1,2010
10465,720,1,2133
22244,968,66,2670
5472,508,1,1882
8247,678,11,1944
6711,648,0,2346
10999,1011,11,2198
10080,761,23,2048
7804,781,9,1946
16901,591,32,2629
9471,584,0,2187
9482,653,15,2095
5980,732,0,1861
11423,623,26,2194
5439,764,0,1854
42,2,0,403
8796,1061,2,1982
7618,1028,0,2004
7910,1109,0,1893
8482,992,0,2063
9685,1087,47,2148
2524,1272,0,1529
7762,1122,1,1890
7948,1051,0,1956
9202,1035,22,2094
8859,1057,2,1970
7286,1028,46,2241
9317,1077,28,2021
6873,1203,46,1898
7373,1081,0,1907
8242,1124,2,1882
3516,1197,46,1966
7913,1192,28,1835
7365,1191,20,1780
8452,1167,5,1830
7399,1219,7,1739
7525,1099,0,1878
7412,1070,1,1906
8278,1020,0,2015
8314,1093,13,1971
7063,1065,0,1910
4940,1302,75,1897
8168,1068,46,2096
7726,1095,0,1906
8275,1067,0,1962
6440,1121,0,1826
7566,720,0,1431
4747,1160,0,1788
9715,1045,16,2093
8844,1039,6,2065
7451,1105,0,1908
6905,1084,0,1908
8199,1105,11,1964
6798,1070,20,2014
7711,1064,0,1985
4880,1148,15,1867
8857,1037,18,2124
3843,1234,0,1669
7396,1115,20,1995
6731,1127,14,1921
5995,1024,0,2010
8283,1083,22,2057
7904,1057,24,2095
5512,1055,0,1972
9135,1038,0,2044
5250,1119,17,1946
3077,842,0,1237
8856,777,44,1450
10035,754,31,1495
7641,801,5,1433
9010,644,15,1468
13459,663,31,1625
10415,600,11,1529
11663,605,4,1584
12414,738,19,1638
11658,845,2,1554
6093,712,0,1397
8911,731,33,1481
12058,724,0,1638
14112,660,30,1655
11177,781,50,1570
11388,797,7,1551
7193,714,0,1377
7114,804,15,1407
10645,744,36,1545
13238,687,43,1650
10414,691,41,1501
16520,713,24,1760
14335,594,47,1710
13559,852,14,1628
12312,680,14,1618
11677,676,29,1590
11550,703,0,1574
13585,688,9,1633
14687,1159,8,1667
13072,676,1,1630
746,13,4,52
8539,712,4,3654
0,1440,0,1981
108,1437,0,2011
1882,1299,36,2951
1982,1222,65,3051
16,1438,0,1990
62,1438,0,1995
0,1440,0,1980
0,1440,0,1980
0,1440,0,1980
0,1440,0,1980
0,1440,0,1980
0,1440,0,1980
0,1440,0,1980
0,1440,0,1980
0,1440,0,1980
0,1440,0,1980
0,1440,0,1980
0,1440,0,1980
0,1440,0,1980
475,1350,0,2207
4496,950,0,2828
10252,531,13,3879
11728,916,38,3429
4369,855,0,2704
6132,1256,0,2975
5862,775,0,3089
4556,1225,3,2785
5546,774,0,2926
3689,1296,2,2645
590,721,0,1120
5394,1276,0,2286
5974,1280,0,2306
0,1440,0,1776
3984,873,3,1527
7753,1440,0,2115
8204,1234,8,2135
10210,589,1,2302
5664,752,0,1985
4744,724,0,1884
29,1363,0,1464
2276,824,1,1632
8925,604,0,2200
8954,671,0,2220
3702,1265,0,1792
4500,709,1,1886
4935,546,0,1945
4081,692,1,1880
9259,544,0,2314
9899,649,8,2236
10780,680,6,2324
10817,552,13,2367
7990,624,6,2175
8221,695,6,2092
1251,836,0,1593
9261,585,0,2270
9648,669,8,2235
10429,1106,8,2282
13658,957,27,2530
9524,692,6,2266
7937,586,3,2158
3672,603,0,1792
10378,490,2,2345
9487,555,3,2260
9129,574,3,2232
17,0,0,257
10122,1440,0,2955
10993,1275,1,3092
8863,945,10,2998
8758,837,0,3066
6580,609,6,3073
4660,721,0,2572
11009,1017,27,3274
10181,704,20,3015
10553,696,19,3083
10055,853,7,3069
12139,945,77,3544
13236,749,58,3306
10243,584,14,2885
12961,1054,11,3288
9461,673,14,2929
11193,684,11,3074
10074,878,19,2969
9232,1175,13,2979
12533,537,14,3283
10255,579,12,2926
10096,935,33,3147
12727,984,18,3290
12375,632,35,3162
9603,896,12,2899
13175,1100,33,3425
22770,508,120,4022
17298,576,107,3934
10218,1020,6,3013
10299,648,13,3061
10201,858,8,2954
3369,825,0,1623
3276,787,0,2113
2961,840,0,2095
3974,717,0,2194
7198,711,0,2496
3945,716,0,2180
2268,1219,0,1933
6155,1247,25,2248
2064,895,0,1954
2072,841,0,1974
3809,756,0,2150
6831,706,0,2432
4363,1239,0,2149
5002,1196,0,2247
3385,916,0,2070
6326,839,29,2291
7243,839,32,2361
4493,762,0,2203
4676,1106,0,2196
6222,797,0,2363
5232,741,0,2246
6910,667,27,2336
7502,725,30,2421
2923,897,0,2070
3800,734,2,2120
4514,809,0,2211
5183,866,26,2123
7303,733,0,2423
5275,641,0,2281
3915,783,0,2181
9105,622,34,2499
768,380,0,1212
5135,1122,0,1909
4978,1287,19,1722
6799,1161,0,1922
7795,1131,17,2121
7289,1112,8,1997
9634,1110,7,2117
8940,1080,14,2116
5401,1182,1,1876
4803,1218,0,1788
13743,844,6,2486
9601,1122,20,2094
6890,1122,5,2085
8563,1045,0,2173
8095,993,18,2225
9148,1062,12,2223
9557,1087,27,2098
9451,985,1,2185
7833,1096,15,1918
10319,1111,7,2105
3428,1121,0,1692
7891,1057,0,2066
5267,1172,21,1953
5232,1188,0,1842
10611,1048,14,2262
3755,1238,0,1722
8237,1116,23,1973
6543,1019,66,2666
11451,1065,6,2223
6435,1191,11,1889
9108,1081,4,2131
6307,736,0,1452
7213,718,0,2947
6877,777,0,2898
7860,772,0,2984
6506,944,1,2896
11140,556,3,3328
12692,437,12,3394
9105,890,22,3013
6708,757,10,2812
8793,717,2,3061
6530,901,4,2729
1664,1341,0,2241
15126,469,9,3691
15050,542,15,3538
9167,730,6,3064
6108,765,1,2784
7047,733,1,2908
9023,738,14,3033
9930,692,12,3165
10144,728,4,3115
0,1440,0,2017
7245,1131,5,2859
9454,729,0,3145
8161,757,4,3004
8614,745,8,3006
6943,682,1,2859
14370,577,5,3683
12857,1019,9,3287
8232,746,0,2990
10613,701,1,3172
9810,784,10,3069
2752,241,0,1240
11596,767,19,2026
4832,647,0,1718
17022,693,61,2324
16556,689,58,2254
5771,521,0,1831
655,943,0,1397
3727,622,0,1683
15482,756,69,2284
2713,598,0,1570
12346,801,47,2066
11682,781,25,2105
4112,443,0,1776
1807,582,0,1507
10946,732,51,2033
11886,750,40,2093
10538,745,16,1922
11393,727,49,1999
12764,709,46,2169
1202,506,0,1463
5164,436,0,1747
9769,724,23,1996
12848,812,26,2116
4249,651,0,1698
14331,692,44,2156
9632,761,21,1916
1868,902,0,1494
6083,505,3,1762
11611,667,59,2272
16358,707,61,2335
4926,628,0,1693
3121,222,8,741
8135,728,86,3405
5077,776,15,2551
8596,662,118,4022
12087,695,115,4005
14269,472,184,4274
12231,525,200,4552
9893,623,114,3625
12574,733,108,3501
8330,773,87,3192
10830,670,110,4018
9172,823,62,3329
7638,627,24,3152
15764,425,210,4392
6393,743,61,3374
5325,759,38,3088
6805,773,63,3294
9841,692,99,3580
7924,739,97,3544
12363,621,207,4501
13368,499,194,4546
7439,732,37,3014
11045,580,97,3795
5206,631,25,2755
7550,1153,45,3004
4950,1304,41,2643
0,1440,0,1819
0,1440,0,1819
3421,1099,34,2489
8869,639,104,3841
4038,257,45,1665
0,1440,0,1496
0,1440,0,1496
0,1440,0,1496
14019,921,0,2865
14450,502,7,2828
7150,702,0,2225
5153,759,0,2018
11135,425,0,2606
10449,587,26,2536
19542,579,11,4900
8206,413,0,2409
11495,468,0,2651
7623,711,0,2305
0,1440,0,1497
9543,1077,0,2450
9411,417,0,2576
3403,758,0,1879
9592,479,0,2560
6987,1040,0,2275
8915,525,0,2361
4933,1204,0,2044
0,1440,0,1496
2997,1279,0,1902
9799,479,0,2636
3365,673,0,1838
7336,456,0,2469
7328,517,0,2250
4477,125,0,1248
4562,1241,0,2560
7142,1090,0,2905
7671,1077,0,2952
9501,1112,0,2896
8301,1182,0,2783
7851,1172,31,3171
6885,1169,0,2766
7142,1119,0,2839
6361,1182,0,2701
0,1440,0,2060
6238,1138,0,2796
0,1407,33,2664
5896,1182,0,2703
7802,1180,8,2771
0,1440,0,2060
5565,1153,0,2743
5731,1185,0,2687
0,1440,0,2060
6744,1116,0,2843
9837,1055,8,3327
6781,1172,0,2725
6047,1200,0,2671
5832,1168,0,2718
6339,1201,0,2682
6116,1135,0,2806
5510,1213,0,2613
7706,1189,0,2712
6277,800,0,2175
0,1440,0,0
0,1440,0,1841
4053,1053,17,2400
5162,863,14,2507
1282,976,0,2127
4732,1377,36,2225
2497,1392,5,2067
8294,1233,30,2798
0,1440,0,1841
10771,1079,70,3727
0,1440,0,1841
637,1420,0,1922
0,1440,0,1841
2153,1400,11,2053
6474,1302,33,2484
7091,1321,42,2584
0,1440,0,1841
703,1410,2,1993
0,1440,0,1841
2503,1344,3,2280
2487,1347,9,2319
0,1440,0,1841
9,1439,0,1843
0,1440,0,1841
0,1440,0,1841
4697,1318,12,2496
1967,551,2,1032
10199,796,50,1994
5652,548,8,1718
1551,862,0,1466
5563,837,0,1756
13217,741,50,2173
10145,634,5,2027
11404,689,13,2039
10742,659,35,2046
13928,639,48,2174
11835,708,53,2179
10725,659,30,2086
20031,484,58,2571
5029,720,0,1705
13239,637,35,2194
10433,680,36,2012
10320,697,7,2034
12627,621,38,2182
10762,645,12,2254
10081,731,32,2002
5454,722,0,1740
12912,655,18,2162
12109,654,21,2072
10147,683,15,2086
10524,591,14,2066
5908,717,0,1850
6815,745,0,1947
4188,709,0,1659
12342,607,43,2105
15448,626,62,2361
6722,709,24,1855
3587,127,0,928
14172,1024,53,2937
12862,1101,56,2742
11179,1096,34,2668
5273,1238,0,2098
4631,1155,0,2076
8059,1135,0,2383
14816,1077,48,2832
14194,1066,53,2812
15566,1000,60,3096
13744,1049,30,2763
15299,1065,64,2889
8093,1190,2,2284
11085,1021,0,2667
18229,986,51,3055
15090,978,16,2939
13541,1041,50,2830
15128,1007,16,2836
20067,961,55,3180
3761,1240,0,2051
5600,1142,0,2225
13041,1112,64,2642
14510,1021,58,2976
0,1440,0,1557
15010,1047,53,2933
11459,1136,44,2553
0,111,0,120
11317,745,59,2772
5813,744,31,2516
9123,787,35,2734
8585,864,30,2395
31,1437,0,1635
0,1440,0,1629
9827,1136,61,2743
10688,671,67,2944
14365,797,87,2997
9469,758,19,2463
9753,762,58,2846
2817,1350,0,1965
3520,566,0,2049
10091,706,69,2752
10387,726,70,2781
11107,829,55,2693
11584,810,54,2862
7881,1198,24,2616
14560,584,42,2995
12390,685,30,2730
10052,737,66,2754
10288,761,57,2754
10988,843,45,2655
8564,1253,24,2386
12461,834,84,2924
12827,621,20,2739
10677,695,32,2534
13566,743,67,2960
14433,1182,72,2800
9572,757,57,2735
3789,343,5,1199
18060,1193,116,3186
16433,1177,95,3140
20159,1123,119,3411
20669,1142,132,3410
14549,1255,96,2867
18827,1113,111,3213
17076,1137,102,3133
15929,1152,90,3114
15108,695,89,3043
16057,1164,100,3103
10520,1260,60,2655
22359,741,125,3554
22988,1096,129,3577
20500,1104,118,3403
12685,1182,68,2846
12422,1187,60,2852
15447,1188,90,3062
12315,1215,58,2794
7135,1281,27,2408
1170,1389,0,1886
1969,1345,0,1988
15484,1166,87,3023
14581,1220,89,2918
14990,1208,93,2950
13953,1245,90,2859
19769,1076,121,3331
22026,1073,125,3589
12465,1214,66,2765
14810,1219,96,2926
12209,1189,60,2809
4998,839,28,1505
9033,1244,40,2044
8053,1298,35,1935
5234,1362,29,1705
2672,1335,0,1632
9256,1268,6,1880
10204,1237,41,2112
5151,1278,16,1829
4212,1276,0,1763
6466,1201,5,1931
11268,1199,49,2218
2824,1320,0,1651
9282,1193,30,2132
8905,1313,41,1976
6829,1261,7,1909
4562,1299,19,1813
10232,1286,45,2008
2718,1393,11,1580
6260,1257,16,1854
0,1440,0,0
7626,723,65,3635
12386,680,116,4079
13318,699,123,4163
14461,729,60,3666
11207,563,64,3363
2132,599,0,2572
13630,720,117,4157
13070,737,120,4092
9388,763,82,3787
15148,677,137,4236
12200,769,113,4044
5709,740,19,2908
3703,734,0,2741
12405,692,117,4005
16208,593,90,3763
7359,676,4,3061
5417,711,11,2884
6175,767,3,2982
2946,780,0,2660
11419,669,71,3369
6064,802,63,3491
8712,822,71,3784
7875,680,19,3110
8567,764,66,3783
7045,831,74,3644
4468,851,0,2799
2943,621,0,2685
8382,772,71,3721
6582,840,63,3586
9143,763,72,3788
4561,433,8,1976
5014,1237,0,2650
5571,1252,2,2654
3135,1306,0,2443
3430,1375,0,2505
5319,1440,0,2693
3008,1440,0,2439
3864,1309,4,2536
5697,1257,7,2668
5273,1246,0,2647
8538,1229,35,2883
8687,1170,4,2944
9423,1151,7,3012
8286,1188,2,2889
4503,1294,18,2547
10499,1134,1,3093
12474,1229,77,3142
6174,1209,0,2757
15168,1069,46,3513
10085,1093,2,3164
4512,1311,10,2596
8469,1440,0,2894
12015,1440,0,3212
3588,1440,0,2516
12427,1370,0,3266
5843,1250,2,2683
6117,1190,0,2810
9217,1183,3,2940
9877,1260,66,2947
8240,1226,9,2846
8701,1106,5,2804
0,1440,0,0
2564,831,0,2044
1320,806,0,1934
1219,853,0,1963
2483,937,0,2009
244,1428,0,1721
0,1440,0,1688
0,1440,0,1688
